pub_date	title	venue	excerpt	citation	url_slug	paper_url
2019-05-12	Question answering for spoken lecture processing	IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)	Spoken Question Answering with deep learning methods	Ünlü, Merve, Ebru Arısoy and Murat Saraçlar. (2019). "Question answering for spoken lecture processing" <i>ICASSP (2019)</i>	qa-for-spoken-lecture-processing	http://mmerveunlu.github.io/files/UnluArisoySaraclar2019ICASSP.pdf
2019-04-26	A Question Answering System for Spoken Lectures in Turkish	Signal Processing and Communications Applications Conference	Spoken Question Answering with deep learning methods on Turkish QA dataset.	Ünlü, Merve, Ebru Arısoy and Murat Saraçlar. (2019). "A Question Answering System for Spoken Lectures in Turkish" <i>SIU (2019)</i>	spoken-qa-turkish	http://mmerveunlu.github.io/files/UnluArisoySaraclar2019SIU.pdf


